104,104,Fomalhaut b,8,555530,160,0.87,,,,,0,0,0,2,11/19/2015,15
105,105,GJ 1132 b,2,1.628931,0.0153,0.22,0.00522,Mass,,6.3,0,0,0,2,6/21/2018,7
106,105,GJ 1132 c,2,8.929,0.0476,0.27,0.00831,Msini,,,0,0,0,1,6/21/2018,24
107,107,GJ 1148 b,3,41.38,0.166,0.38,0.30425,Msini,,,0,0,0,0,10/19/2017,52
108,107,GJ 1148 c,3,532.58,0.912,0.342,0.21414,Msini,,,0,0,0,0,10/19/2017,6
109,109,GJ 1214 b,2,1.58040456,0.01411,,0.0197,Mass,0.254,1.49,0,0,0,3,12/3/2015,29
110,110,GJ 163 b,3,8.63182,0.0607,0.073,0.03335,Msini,,,0,0,0,0,1/26/2017,24
111,110,GJ 163 c,3,25.63058,0.1254,0.099,0.0214,Msini,,,0,0,0,0,1/26/2017,24
112,110,GJ 163 d,3,603.95116,1.0304,0.373,0.0925,Msini,,,0,0,0,0,1/26/2017,24
113,113,GJ 179 b,3,2288,2.41,0.21,0.82,Msini,,,0,0,0,0,5/14/2014,52
114,114,GJ 273 b,3,18.6498,0.091101,0.1,0.00909,Msini,,,0,0,0,0,3/30/2017,24
115,114,GJ 273 c,3,4.7234,0.036467,0.17,0.00371,Msini,,,0,0,0,0,3/30/2017,24
116,116,GJ 3021 b,3,133.71,0.49,0.511,3.37,Msini,,,0,0,0,1,5/14/2014,24
117,117,GJ 3138 b,3,1.22003,0.0197,0.19,0.0056,Msini,,,0,0,0,0,3/30/2017,24
118,117,GJ 3138 c,3,5.974,0.057,0.11,0.01315,Msini,,,0,0,0,0,3/30/2017,24
119,117,GJ 3138 d,3,257.8,0.698,0.32,0.03304,Msini,,,0,0,0,0,3/30/2017,24
120,120,GJ 317 b,3,692,1.15,0.11,2.5,Mass,,,0,0,0,0,8/27/2014,52
121,121,GJ 328 b,3,4100,4.5,0.37,2.3,Msini,,,0,0,0,0,5/14/2014,32
122,122,GJ 3293 b,3,30.5987,0.14339,0.06,0.07406,Msini,,,0,0,0,0,3/30/2017,24
123,122,GJ 3293 c,3,122.6196,0.36175,0.11,0.06636,Msini,,,0,0,0,0,3/30/2017,24
124,122,GJ 3293 d,3,48.1345,0.19394,0.12,0.02391,Msini,,,0,0,0,0,3/30/2017,24
125,122,GJ 3293 e,3,13.2543,0.08208,0.21,0.01032,Msini,,,0,0,0,0,3/30/2017,24
126,126,GJ 3323 b,3,5.3636,0.03282,0.23,0.00636,Msini,,,0,0,0,0,3/30/2017,24
127,126,GJ 3323 c,3,40.54,0.1264,0.17,0.00727,Msini,,,0,0,0,0,3/30/2017,24
128,128,GJ 3341 b,3,14.207,0.089,0.31,0.0208,Msini,,,0,0,0,0,12/3/2014,24
129,129,GJ 3470 b,3,3.3366487,0.031,0.017,0.043,Mass,0.346,1.18,0,0,0,1,7/23/2014,24
130,130,GJ 3634 b,3,2.64561,0.0287,0.08,0.026,Mass,,,0,0,0,0,8/21/2014,24
131,131,GJ 3942 b,3,6.905,0.0608,0.121,0.02246,Msini,,,0,0,0,0,12/21/2017,42
132,132,GJ 3998 b,3,2.64977,0.029,0,0.00777,Msini,,,0,0,0,1,7/28/2016,42
133,132,GJ 3998 c,3,13.74,0.089,0.049,0.0197,Msini,,,0,0,0,1,7/28/2016,42
134,134,GJ 433 b,3,7.3709,0.06,0.08,0.02,Msini,,,0,0,0,0,9/6/2018,24
135,135,GJ 436 b,3,2.64388312,0.0291,0.13827,0.07,Mass,0.372,1.8,0,0,0,0,2/5/2015,52
136,136,GJ 504 b,8,,43.5,,4,Mass,,,0,0,0,0,5/14/2014,44
137,137,GJ 536 b,3,8.7076,0.06661,0.08,0.01686,Msini,,,0,0,0,0,11/17/2016,24
138,138,GJ 581 b,3,5.3686,0.04061,0,0.0497,Msini,,,0,0,0,0,7/9/2014,24
139,138,GJ 581 c,3,12.914,0.0721,0,0.0173,Msini,,,0,0,0,0,7/9/2014,24
140,138,GJ 581 e,3,3.149,0.02815,0,0.0053,Msini,,,0,0,0,0,7/9/2014,24
141,141,GJ 625 b,3,14.628,0.078361,0.13,0.00887,Msini,,,0,0,0,0,9/28/2017,34
142,142,GJ 649 b,3,598.3,1.135,0.3,0.328,Msini,,,0,0,0,0,5/14/2014,52
143,143,GJ 667 C b,3,7.2004,0.0505,0.13,0.018,Msini,,,0,0,0,0,5/14/2014,24
144,143,GJ 667 C c,3,28.14,0.125,0.02,0.012,Msini,,,0,0,0,0,5/14/2014,24
145,143,GJ 667 C e,3,62.24,0.213,0.02,0.008,Msini,,,0,0,0,0,5/14/2014,24
146,143,GJ 667 C f,3,39.026,0.156,0.03,0.008,Msini,,,0,0,0,0,5/14/2014,24
147,143,GJ 667 C g,3,256.2,0.549,0.08,0.014,Msini,,,0,0,0,0,5/14/2014,24
148,148,GJ 674 b,3,4.6938,0.039,0.2,0.035,Msini,,,0,0,0,0,5/14/2014,24
149,149,GJ 676 A b,3,1056.80005,1.82,0.33,4.96,Msini,,,0,0,0,0,9/6/2018,24
150,149,GJ 676 A c,3,7337,6.6,,6.8,Msini,,,0,0,0,0,9/29/2016,39
151,149,GJ 676 A d,3,3.6005,,0.262,0.014,Msini,,,0,0,0,0,9/29/2016,24
152,149,GJ 676 A e,3,35.39,,0.125,0.025,Msini,,,0,0,0,0,9/29/2016,24
153,153,GJ 687 b,3,38.14,0.17,0.04,0.06,Msini,,,0,0,0,0,9/6/2018,28
154,154,GJ 832 b,3,3657,3.56,0.08,0.68,Msini,,,0,0,0,0,6/25/2014,2
155,154,GJ 832 c,3,35.68,0.163,0.18,0.017,Msini,,,0,0,0,0,6/25/2014,34
156,156,GJ 849 b,3,1882,2.35,0.04,1,Msini,,,0,0,0,0,9/6/2018,52
157,157,GJ 86 b,3,15.76491,0.11,0.04,4.42,Msini,,,0,0,0,0,9/6/2018,24
158,158,GJ 876 b,3,61.1166,0.208317,0.0324,2.2756,Mass,,,0,0,0,0,8/27/2014,34
159,158,GJ 876 c,3,30.0881,0.12959,0.25591,0.7142,Mass,,,0,0,0,0,8/27/2014,34
160,158,GJ 876 d,3,1.93778,0.020807,0.207,0.021,Mass,,,0,0,0,1,8/27/2014,52
161,158,GJ 876 e,3,124.26,0.3343,0.055,0.046,Mass,,,0,0,0,0,8/27/2014,52
162,162,GJ 9827 b,2,1.2089802,0.01888,,0.01076,Mass,0.145,4.5,0,0,1,1,6/21/2018,17
163,162,GJ 9827 c,2,3.648083,0.03942,,0.00761,Mass,0.113,6.4,0,0,1,1,6/21/2018,17
164,162,GJ 9827 d,2,6.201467,0.05615,,0.01636,Mass,0.185,3.23,0,0,1,1,6/21/2018,17
165,165,GQ Lup b,8,,100,,20,Mass,3,,0,0,0,1,5/14/2014,39
166,166,GSC 06214-00210 b,8,,320,,16,Mass,,,0,0,0,1,4/1/2015,38
167,167,GU Psc b,8,,2000,,11.3,Mass,1.265,,0,0,0,0,5/14/2014,11
168,168,HAT-P-1 b,2,4.46529976,0.05561,,0.525,Mass,1.319,0.282,0,0,0,0,9/10/2015,12
169,169,HAT-P-11 b,2,4.88780244,0.05254,0.218,0.07362,Msini,0.389,,0,1,0,1,6/21/2018,12
170,169,HAT-P-11 c,3,3407,4.13,0.601,1.59519,Msini,,,0,1,0,0,6/21/2018,52
171,171,HAT-P-12 b,2,3.2130598,0.0384,0,0.211,Mass,0.959,0.3192,0,0,0,0,5/14/2014,12
172,172,HAT-P-13 b,2,2.91625,,0.0133,0.851,Mass,1.272,,1,0,0,0,10/15/2014,12
173,172,HAT-P-13 c,3,446.27,,0.6616,14.28,Msini,,,0,0,0,0,5/16/2014,52
174,174,HAT-P-14 b,2,4.62767,,0.11,3.44,Mass,1.42,,0,0,0,0,4/26/2018,12
175,175,HAT-P-15 b,2,10.8635,,0.19,1.94,Mass,1.06,,0,0,0,0,4/26/2018,12
176,176,HAT-P-16 b,2,2.77596,0.0413,0.036,4.193,Mass,1.289,2.42,0,0,0,0,5/14/2014,12
177,177,HAT-P-17 b,2,10.33852,,0.35,0.58,Mass,1.05,,0,0,0,0,4/26/2018,12
178,177,HAT-P-17 c,3,5584,5.6,0.39,3.4,Msini,,,0,0,0,0,5/14/2014,52
179,179,HAT-P-18 b,2,5.508023,0.0559,0.084,0.197,Mass,0.995,0.25,0,0,0,1,5/14/2014,12
180,180,HAT-P-19 b,2,4.008778,0.0466,0.067,0.292,Mass,1.132,0.25,0,0,0,0,5/14/2014,12
181,181,HAT-P-2 b,2,5.6335158,0.06814,0.5172,8.62,Msini,,,0,0,0,2,9/27/2018,12
182,182,HAT-P-20 b,2,2.875317,0.0361,0.015,7.246,Mass,0.867,13.78,0,0,0,0,5/14/2014,12
183,183,HAT-P-21 b,2,4.12448,,0.23,4.87,Mass,1.11,,0,0,0,0,4/26/2018,12
184,184,HAT-P-22 b,2,3.21222,,0.02,2.47,Mass,1.15,,0,0,0,0,4/26/2018,12
185,185,HAT-P-23 b,2,1.21288,,0.11,1.34,Mass,1.09,,0,0,0,0,4/26/2018,12
186,186,HAT-P-24 b,2,3.35524,,0.07,0.75,Mass,1.3,,0,0,0,0,4/26/2018,12
187,187,HAT-P-25 b,2,3.652836,0.0466,0.032,0.567,Mass,1.19,0.42,0,0,0,0,5/14/2014,12
188,188,HAT-P-26 b,2,4.23452,,0.12,0.07,Mass,0.63,,0,0,0,0,4/26/2018,12
189,189,HAT-P-27 b,2,3.039577,0.04,0,0.62,Mass,1.02,,0,0,0,1,2/1/2018,12
190,190,HAT-P-28 b,2,3.257215,0.0434,0.051,0.626,Mass,1.212,0.44,0,0,0,0,5/14/2014,12
191,191,HAT-P-29 b,2,5.72319,,0.09,0.88,Mass,1.17,,0,0,0,0,4/26/2018,12
192,192,HAT-P-3 b,2,2.8997,,0,0.65,Mass,0.94,,0,0,0,0,5/24/2018,12
193,193,HAT-P-30 b,2,2.8106,,0.04,0.83,Mass,1.44,,0,0,0,0,4/26/2018,12
194,194,HAT-P-31 b,2,5.00542,,0.25,2.27,Mass,1.09,,0,0,0,0,4/26/2018,12
